Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
COP,Conocophillips,Common Stock,47.16,$50.37B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
MET,Metlife Inc.,Common Stock,55.67,$49.71B,Financials,Insurance,Life & Health Insurance
BMO,Bank of Montreal,Common Stock,76.86,$49.64B,Financials,Banks,Diversified Banks
NOC,Northrop Grumman Corp,Common Stock,297.36,$49.57B,Industrials,Aerospace & Defense,Aerospace & Defense
ETN,Eaton Corp Plc,Common Stock,123.98,$49.42B,Industrials,Electrical Equipment,Electrical Components & Equipment
DOCU,DocuSign Inc.,Common Stock,263.32,$49.11B,Information Technology,Software,Application Software
HUM,Humana Inc.,Common Stock,380.64,$49.05B,Health Care,Health Care Providers & Services,Managed Health Care
CHWY,Chewy Inc,Common Stock,118.69,$48.97B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
CP,Canadian Pacific Railway Ltd,Common Stock,365.51,$48.72B,Industrials,Road & Rail,Railroads
DG,Dollar General Corporation,Common Stock,198.6,$48.66B,Consumer Discretionary,Multiline Retail,General Merchandise Stores
MNST,Monster Beverage Corp,Common Stock,91.74,$48.42B,Consumer Staples,Beverages,Soft Drinks
VEEV,Veeva Systems Inc,Common Stock,318.03,$48.11B,Health Care,Health Care Technology,Health Care Technology
ALGN,Align Technology Inc,Common Stock,609.72,$48.06B,Health Care,Health Care Equipment & Supplies,Health Care Supplies
BX,Blackstone Group Inc,Common Stock,70.21,$48.01B,Financials,Capital Markets,Asset Management & Custody Banks
WM,Waste Management Inc.,Common Stock,113.25,$47.86B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services
NEM,Newmont Corporation,Common Stock,58.94,$47.39B,Materials,Metals & Mining,Gold
GD,General Dynamics Corp,Common Stock,164.83,$47.22B,Industrials,Aerospace & Defense,Aerospace & Defense
ZG,Zillow Group Inc,Common Stock,202.94,$47.15B,Communication Services,Interactive Media & Services,Interactive Media & Services
STZ,Constellation Brands Inc,Common Stock,241.27,$46.63B,Consumer Staples,Beverages,Distillers & Vintners
STZ-B,Constellation Brands Inc,Common Stock,240.57,$46.50B,Consumer Staples,Beverages,Distillers & Vintners
