Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
AAPL,Apple Inc,Common Stock,135.34,$2.28T,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
MSFT,Microsoft Corp,Common Stock,244.99,$1.85T,Information Technology,Software,Systems Software
AMZN,Amazon.com Inc,Common Stock,3278.38,$1.65T,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
GOOG,Alphabet Inc,Common Stock,2104,$1.42T,Communication Services,Interactive Media & Services,Interactive Media & Services
GOOGL,Alphabet Inc,Common Stock,2095.03,$1.41T,Communication Services,Interactive Media & Services,Interactive Media & Services
TSLA,Tesla Inc,Common Stock,816.04,$783.48B,Consumer Discretionary,Automobiles,Automobile Manufacturers
FB,Facebook Inc,Common Stock,270.56,$770.65B,Communication Services,Interactive Media & Services,Interactive Media & Services
BRK-B,Berkshire Hathaway Inc,Common Stock,242.46,$571.22B,Financials,Diversified Financial Services,Multi-Sector Holdings
V,Visa Inc,Common Stock,209.96,$448.68B,Information Technology,IT Services,Data Processing & Outsourced Services
JNJ,Johnson & Johnson,Common Stock,166.58,$438.47B,Health Care,Pharmaceuticals,Pharmaceuticals
JPM,JPMorgan Chase & Co,Common Stock,141.25,$430.73B,Financials,Banks,Diversified Banks
WMT,Walmart Inc,Common Stock,144.47,$408.99B,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
NVDA,NVIDIA Corporation,Common Stock,598.42,$370.44B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
PYPL,PayPal Holdings Inc,Common Stock,298.37,$349.69B,Information Technology,IT Services,Data Processing & Outsourced Services
DIS,Walt Disney Co (The),Common Stock,187.67,$340.43B,Communication Services,Entertainment,Movies & Entertainment
MA,Mastercard Inc,Common Stock,341,$339.30B,Information Technology,IT Services,Data Processing & Outsourced Services
PG,Procter & Gamble Co (The),Common Stock,127.62,$314.26B,Consumer Staples,Household Products,Household Products
UNH,Unitedhealth Group Inc,Common Stock,328.24,$311.50B,Health Care,Health Care Providers & Services,Managed Health Care
HD,Home Depot Inc. (The),Common Stock,277.51,$298.60B,Consumer Discretionary,Specialty Retail,Home Improvement Retail
BAC,Bank of America Corp,Common Stock,33.37,$288.68B,Financials,Banks,Diversified Banks
INTC,Intel Corp,Common Stock,61.81,$251.07B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
NFLX,Netflix Inc,Common Stock,556.52,$246.48B,Communication Services,Entertainment,Movies & Entertainment
CMCSA,Comcast Corp,Common Stock,53.23,$243.83B,Communication Services,Media,Cable & Satellite
ADBE,Adobe Inc,Common Stock,498.84,$238.94B,Information Technology,Software,Application Software
ABT,Abbott Laboratories,Common Stock,128.23,$227.27B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
VZ,Verizon Communications Inc,Common Stock,54.2,$224.28B,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
NKE,Nike Inc,Common Stock,142.12,$223.84B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear
CRM,salesforce.com Inc,Common Stock,240.37,$219.70B,Information Technology,Software,Application Software
KO,Coca-Cola Co (The),Common Stock,50.69,$218.07B,Consumer Staples,Beverages,Soft Drinks
XOM,Exxon Mobil Corp,Common Stock,50.52,$213.85B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
T,AT&T Inc,Common Stock,28.8,$205.23B,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
TMO,Thermo Fisher Scientific Inc,Common Stock,507.83,$201.27B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
CSCO,Cisco Systems Inc,Common Stock,47.29,$199.66B,Information Technology,Communications Equipment,Communications Equipment
AVGO,Broadcom Inc,Common Stock,486.32,$197.93B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
PFE,Pfizer Inc,Common Stock,34.72,$192.94B,Health Care,Pharmaceuticals,Pharmaceuticals
MRK,Merck & Co Inc,Common Stock,75,$189.73B,Health Care,Pharmaceuticals,Pharmaceuticals
LLY,Eli Lilly and Co,Common Stock,207.29,$187.91B,Health Care,Pharmaceuticals,Pharmaceuticals
ORCL,Oracle Corp,Common Stock,63.08,$186.21B,Information Technology,Software,Systems Software
PEP,PepsiCo Inc,Common Stock,133.88,$184.74B,Consumer Staples,Beverages,Soft Drinks
ABBV,AbbVie Inc,Common Stock,104.44,$184.37B,Health Care,Biotechnology,Biotechnology
SHOP,Shopify Inc,Common Stock,1455.49,$177.44B,Information Technology,IT Services,Internet Services & Infrastructure
DHR,Danaher Corp,Common Stock,245.9,$174.83B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
CVX,Chevron Corp,Common Stock,92.55,$172.82B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
QCOM,QUALCOMM Inc.,Common Stock,147.98,$168.11B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
TXN,Texas Instruments Inc,Common Stock,179.64,$165.15B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
ACN,Accenture PLC,Common Stock,257.47,$163.14B,Information Technology,IT Services,IT Consulting & Other Services
NEE,NextEra Energy Inc,Common Stock,83.13,$162.86B,Utilities,Electric Utilities,Electric Utilities
MDT,Medtronic PLC,Common Stock,119.74,$161.12B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
MCD,McDonald's Corp,Common Stock,213.9,$159.38B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
COST,Costco Wholesale Corp,Common Stock,352.76,$156.25B,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
TMUS,T-Mobile US Inc,Common Stock,123.65,$153.59B,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
UNP,Union Pacific Corp,Common Stock,213.16,$143.11B,Industrials,Road & Rail,Railroads
HON,Honeywell International Inc,Common Stock,203.57,$142.84B,Industrials,Industrial Conglomerates,Industrial Conglomerates
UPS,United Parcel Service Inc,Common Stock,163.39,$141.27B,Industrials,Air Freight & Logistics,Air Freight & Logistics
WFC,Wells Fargo & Co,Common Stock,33.53,$138.95B,Financials,Banks,Diversified Banks
AMGN,Amgen Inc,Common Stock,237.21,$137.11B,Health Care,Biotechnology,Biotechnology
BMY,Bristol-Myers Squibb Co,Common Stock,59.99,$135.56B,Health Care,Pharmaceuticals,Pharmaceuticals
MS,Morgan Stanley,Common Stock,74.61,$135.04B,Financials,Capital Markets,Investment Banking & Brokerage
PM,Philip Morris International Inc,Common Stock,86.12,$134.12B,Consumer Staples,Tobacco,Tobacco
LOW,Lowe's Cos Inc,Common Stock,177.16,$133.22B,Consumer Discretionary,Specialty Retail,Home Improvement Retail
LIN,Linde Plc,Common Stock,252.68,$132.62B,Materials,Chemicals,Industrial Gases
C,Citigroup Inc,Common Stock,63.63,$132.48B,Financials,Banks,Diversified Banks
ABNB,Airbnb Inc,Common Stock,212.74,$127.07B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
SBUX,Starbucks Corp,Common Stock,105.29,$123.96B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
ZM,Zoom Video Communications Inc,Common Stock,433.11,$123.85B,Information Technology,Software,Application Software
BA,Boeing Co,Common Stock,210.98,$122.86B,Industrials,Aerospace & Defense,Aerospace & Defense
SQ,Square Inc,Common Stock,272.75,$122.11B,Information Technology,IT Services,Data Processing & Outsourced Services
