Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
HL,Hecla Mining Co,Common Stock,6.17,$3.28B,Materials,Metals & Mining,Silver
CCU,Compania Cervecerias Unidas SA,Depository Receipt,17.69,$3.27B,Consumer Staples,Beverages,Brewers
FOLD,Amicus Therapeutics Inc,Common Stock,12.56,$3.26B,Health Care,Biotechnology,Biotechnology
CMD,Cantel Medical Corp,Common Stock,76.98,$3.25B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
ARVN,Arvinas Inc,Common Stock,81.09,$3.25B,Health Care,Pharmaceuticals,Pharmaceuticals
HMSY,HMS Holdings Corp,Common Stock,36.68,$3.25B,Health Care,Health Care Technology,Health Care Technology
AGO,Assured Guaranty Ltd,Common Stock,39.43,$3.24B,Financials,Insurance,Property & Casualty Insurance
LEGN,LEGEND BIOTECH CORPORATION,Depository Receipt,25.1,$3.24B,Health Care,Biotechnology,Biotechnology
FN,Fabrinet,Common Stock,87.8,$3.24B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services
ATCO,Atlas Corp,Common Stock,13.14,$3.23B,Industrials,Marine,Marine
LGF-A,Lions Gate Entertainment Corp,Common Stock,14.63,$3.23B,Communication Services,Entertainment,Movies & Entertainment
MED,Medifast Inc.,Common Stock,274.3,$3.23B,Consumer Staples,Personal Products,Personal Products
DAN,Dana Inc,Common Stock,22.33,$3.23B,Consumer Discretionary,Auto Components,Auto Parts & Equipment
AMRC,Ameresco Inc,Common Stock,67.35,$3.22B,Industrials,Construction & Engineering,Construction & Engineering
HWC,Hancock Whitney Corp,Common Stock,37.13,$3.22B,Financials,Banks,Regional Banks
PDCO,Patterson Cos Inc,Common Stock,33.38,$3.22B,Health Care,Health Care Providers & Services,Health Care Distributors
ALKS,Alkermes Plc,Common Stock,20.22,$3.22B,Health Care,Biotechnology,Biotechnology
REZI,Resideo Technologies Inc,Common Stock,26.01,$3.21B,Industrials,Building Products,Building Products
EAF,Graftech International Ltd,Common Stock,12.01,$3.21B,Industrials,Electrical Equipment,Electrical Components & Equipment
KRTX,Karuna Therapeutics Inc,Common Stock,120,$3.21B,Health Care,Biotechnology,Biotechnology
APG,APi Group Corp,Common Stock,18.89,$3.20B,Industrials,Construction & Engineering,Construction & Engineering
AGI,Alamos Gold Inc,Common Stock,8.15,$3.20B,Materials,Metals & Mining,Gold
ENR,Energizer Holdings Inc,Common Stock,46.82,$3.20B,Consumer Staples,Household Products,Household Products
ABCB,Ameris Bancorp,Common Stock,45.93,$3.19B,Financials,Banks,Regional Banks
NSTG,NanoString Technologies Inc,Common Stock,82.78,$3.18B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
SOGO,Sogou Inc,Depository Receipt,8.26,$3.17B,Communication Services,Interactive Media & Services,Interactive Media & Services
CIXX,CI Financial Corp,Common Stock,15.08,$3.16B,Financials,Capital Markets,Asset Management & Custody Banks
JOE,St. Joe Co (The),Common Stock,53.68,$3.16B,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities
IGMS,IGM Biosciences Inc,Common Stock,102.95,$3.16B,Health Care,Biotechnology,Biotechnology
ISBC,Investors Bancorp Inc,Common Stock,12.705,$3.15B,Financials,Banks,Regional Banks
WOR,Worthington Industries Inc.,Common Stock,59.7,$3.15B,Materials,Metals & Mining,Steel
ETRN,Equitrans Midstream Corp,Common Stock,7.25,$3.14B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
ITCI,Intra-Cellular Therapies Inc,Common Stock,39.08,$3.13B,Health Care,Pharmaceuticals,Pharmaceuticals
CAR,Avis Budget Group Inc,Common Stock,44.75,$3.13B,Industrials,Road & Rail,Trucking
BMI,Badger Meter Inc.,Common Stock,107.48,$3.13B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
PSMT,PriceSmart Inc,Common Stock,101.49,$3.12B,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
ACA,Arcosa Inc,Common Stock,64.57,$3.12B,Industrials,Construction & Engineering,Construction & Engineering
CNO,CNO Financial Group Inc,Common Stock,23.03,$3.12B,Financials,Insurance,Life & Health Insurance
SSTK,Shutterstock Inc,Common Stock,86,$3.11B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
